Matrix_Size,CPU_Time,GPU_Time
256,25.000,10.821
256,25.000,3.380
256,25.000,0.989
256,25.000,0.761
256,25.000,0.988
512,205.000,81.478
512,206.000,20.770
512,205.000,6.289
512,203.000,3.851
512,200.000,5.486
1024,2208.000,558.499
1024,2247.000,189.027
1024,2242.000,143.367
1024,2330.000,201.622
1024,2230.000,197.846
2048,20084.000,4476.371
2048,18984.000,1152.347
2048,18778.000,606.081
2048,19645.000,384.490
2048,18919.000,478.991
4096,743847.000,33524.566
4096,799369.000,8570.741
4096,756381.000,2318.309
4096,748931.938,1811.341
4096,740162.000,2420.314
