Matrix_Size,Block_Size,Kernel_time (ms),Kernel_std (ms)
256,2,9.833,0.328
256,4,2.510,0.100
256,8,0.802,0.124
256,16,0.520,0.008
256,32,0.610,0.108
512,2,49.557,0.718
512,4,12.547,0.184
512,8,3.343,0.271
512,16,2.421,0.209
512,32,3.485,0.195
1024,2,486.687,2.519
1024,4,129.249,0.583
1024,8,33.352,0.104
1024,16,23.672,0.738
1024,32,33.965,0.575
2048,2,4158.713,30.430
2048,4,1064.932,8.832
2048,8,275.429,2.108
2048,16,195.753,0.693
2048,32,280.969,1.902
4096,2,34161.199,295.676
4096,4,8686.959,60.067
4096,8,2356.198,3.536
4096,16,1698.268,26.571
4096,32,2366.202,19.170
